Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,,,Labels
59,Rosneft,68.8,11.2,126.3,73.2,Russia,Europe,55.7558,37.6173,,,"No.59.PJSC Rosneft Oil Company is a Russian integrated energy company headquartered in Moscow. Rosneft specializes in the exploration, extraction, production, refinement, transport, and sale of petroleum, natural gas, and petroleum products."
60,ING Group,130,5.1,1533.7,31.9,The Netherlands,Europe,52.3676,4.9041,,,"No.60.The ING Group is a Dutch multinational banking and financial services corporation headquartered in Amsterdam. The three letters stand for ""Internationale Nederlanden Groep"
61,Sberbank,36.1,10.8,441.1,73.3,Russia,Europe,55.6558,37.6173,,,"No.61PJSC Sberbank is a state-owned Russian banking and financial services company headquartered in Moscow. The company was known as ""Sberbank of Russia"" until 2015. Sberbank has operations in several European and post-Soviet countries."
62,TelefÃ³nica,82.3,5.2,161.5,67.1,Spain,Europe,40.463667,-3.74922,,,"No.62.elefónica, S.A. is a Spanish multinational telecommunications company headquartered in Madrid, Spain. It is one of the largest telephone operators and mobile network providers in the world. It provides fixed and mobile telephony, broadband and subscription television, operating in Europe and the Americas"
62,American International Group,65.7,3.4,548.6,57.5,USA,North America,40.7127,-74.0062,,,"No.63.American International Group, Inc., also known as AIG, is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. As of January 1, 2019, AIG companies employed 49,600 people. Headquarters: New York, New York, United States"
64,Lukoil,116.3,11,99,55.4,Russia,Europe,55.8558,37.7173,,,"No.64.The PJSC Lukoil Oil Company is a Russian multinational energy corporation headquartered in Moscow, specializing in the business of extraction, production, transport, and sale of petroleum, natural gas, and petroleum products."
65,Prudential,90.2,3.6,489.4,44.7,UK,Europe,40.7357,-74.1684,,,"No.65.Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail and institutional customers throughout the United States and in over 40 other countries. Headquarters: Newark, New Jersey, United States"
66,ANZ,37.5,5.9,666.9,81.2,Australia,Oceania,-37.774398,144.875136,,,"No.66.The Australia and New Zealand Banking Group Limited, commonly called ANZ, is an Australian multinational banking and financial services company headquartered in Melbourne, Australia. It is the second largest bank by assets and third largest bank by market capitalisation in Australia."
67,Banco do Brasil,69,6,552.2,37.9,Brazil,South America,-15.8267,-47.9218,,,"No 67.Banco do Brasil S.A. is a Brazilian financial services company headquartered in Brasília, Brazil. The oldest bank in Brazil, and one of the oldest banks in continuous operation in the world, it was founded by John VI, King of Portugal, in 1808."
68,Google,50.2,10.7,93.8,268.4,USA,North America,37.3861,-122.0839,,,"No.68.Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware. Head Office Mountain View, California, United States"
69,BASF,103.9,6.4,83.5,90.1,Germany,Europe,49.4774,8.4452,,,"No 69.BASF SE is a German multinational chemical company and the largest chemical producer in the world. The BASF Group comprises subsidiaries and joint ventures in more than 80 countries and operates six integrated production sites and 390 other production sites in Europe, Asia, Australia, the Americas and Africa. Headquarters: Ludwigshafen, Germany"
70,General Motors,152.3,6.2,149.4,38.5,USA,North America,42.3314,-83.0358,,,"No.70.General Motors Company is an American multinational corporation headquartered in Detroit, Michigan, USA that designs, manufactures, markets, and distributes vehicles and vehicle parts, and sells financial services, with global headquarters in Detroit's Renaissance Center."
71,TD Bank Group,30.6,6.7,819.4,76.9,Canada,North America,43.6532,-79.3932,,,"No.71.The Toronto-Dominion Bank is a Canadian multinational banking and financial services corporation headquartered in Toronto, Ontario."
